SYMBOL	GSM1480291_LVirgin	GSM1480292_LVirgin	GSM1480293_LPregnant	GSM1480294_LPregnant	GSM1480295_LLactate	GSM1480296_LLactate	GSM1480297_BVirgin	GSM1480298_BVirgin	GSM1480299_BPregnant	GSM1480300_BPregnant	GSM1480301_BLactate	GSM1480302_BLactate
Zfp65	236	187	105	83	76	64	75	55	47	38	55	53
Zfp647	27	26	7	4	9	2	36	14	10	11	10	16
Zfp646	678	788	416	369	268	252	781	619	422	316	371	462
Zfp644	1009	1098	568	498	243	268	1353	1194	1197	1097	1434	1381
Zfp641	43	64	51	59	32	36	18	44	58	56	85	104
Zfp64	314	418	382	308	132	132	199	223	206	148	107	125
Zfp639	270	335	195	165	98	111	312	300	336	332	346	422
Zfp638	1385	1460	903	895	614	688	1284	1097	1083	984	1286	1296
Zfp637	246	223	224	232	110	123	224	213	223	224	244	292
Zfp629	712	754	356	288	113	78	502	468	340	315	324	321
Zfp628	396	591	421	321	164	162	512	428	424	386	387	395
Zfp626	55	75	27	38	27	28	40	40	48	31	51	43
Zfp623	484	522	336	288	99	100	342	401	535	384	145	144
Zfp622	1346	1382	1501	1574	638	658	1256	1065	995	721	627	696
Zfp62	956	932	427	329	179	218	709	632	568	503	552	485
Zfp619	317	353	120	111	52	74	777	653	454	343	333	354
Zfp618	37	30	25	18	2	5	82	105	139	145	171	133
Zfp617	303	292	148	119	160	168	123	100	130	112	119	137
Zfp616	0	0	0	0	0	0	0	0	0	0	0	0
Zfp612	482	553	299	254	461	733	243	240	158	119	136	141
Zfp61	118	127	78	89	54	59	197	146	141	119	134	158
Zfp609	2091	2185	1575	1535	764	780	2867	2727	2611	2177	2659	2650
Zfp608	174	199	16	10	22	20	935	1011	1144	1118	1299	1521
Zfp607b	27	22	12	13	4	6	35	14	19	14	28	21
Zfp607a	103	70	39	41	30	40	55	43	33	34	27	33
Zfp606	196	192	131	134	51	70	149	127	67	58	80	84
Zfp605	239	207	220	197	147	155	63	59	28	31	20	19
Zfp600	16	8	0	0	0	0	3	3	1	1	1	0
Zfp60	168	182	19	24	30	44	102	51	41	43	67	87
Zfp599	52	50	13	11	16	19	23	37	17	14	14	24
Zfp598	4301	4733	4047	3249	2024	2056	6508	5524	5329	3929	2540	2693
Zfp597	754	694	844	763	371	363	506	384	254	186	233	213
Zfp595	55	65	21	16	17	18	58	31	27	29	43	35
Zfp593	422	362	302	243	89	98	350	350	455	404	295	236
Zfp592	1835	2103	1777	1672	624	544	1876	1675	1696	1360	1090	1048
Zfp59	93	77	36	46	32	39	49	38	35	34	41	44
Zfp583	76	76	26	25	19	39	39	30	22	31	45	42
Zfp580	45	53	24	24	6	6	155	125	165	175	154	165
Zfp58	62	65	28	14	17	22	50	34	28	27	37	31
Zfp579	285	395	283	251	92	105	269	184	199	213	155	215
Zfp575	0	0	0	0	0	0	16	6	6	8	7	10
Zfp574	634	775	378	295	175	200	1327	908	678	503	671	779
Zfp572	0	0	0	0	0	0	0	0	0	0	0	0
Zfp57	40	52	9	13	5	13	140	151	263	189	207	197
Zfp568	919	1041	1098	1056	492	431	605	472	511	424	500	480
Zfp566	59	50	22	20	4	8	79	50	38	18	19	27
Zfp563	39	52	31	39	33	28	32	41	17	24	24	23
Zfp560	122	133	76	88	47	36	145	117	76	89	105	84
Zfp558	54	50	16	25	10	10	45	38	41	31	20	17
Zfp553	237	288	241	199	61	67	269	216	125	90	136	175
Zfp551	15	27	2	4	8	3	10	8	13	5	7	7
Zfp541	0	5	5	0	0	2	1	2	1	2	0	0
Zfp54	127	175	120	112	102	88	28	20	28	25	33	25
Zfp536	0	0	0	0	0	0	2	1	0	1	0	0
Zfp534	8	6	0	0	0	0	1	5	0	3	2	1
Zfp532	881	911	610	731	481	522	1326	1267	894	988	1097	1147
Zfp53	213	177	57	43	45	53	110	56	53	36	41	70
Zfp526	180	212	230	187	98	75	140	117	67	47	83	108
Zfp524	113	113	124	149	59	49	57	53	45	31	53	72
Zfp523	563	647	406	353	239	209	529	508	547	557	518	514
Zfp521	303	392	83	68	25	29	535	584	452	556	1059	1156
Zfp52	146	158	23	26	11	14	164	174	212	175	126	120
Zfp518b	182	196	112	113	38	38	97	109	85	93	77	117
Zfp518a	420	481	200	144	173	212	140	143	147	96	109	112
Zfp516	1065	1468	1159	1154	478	372	814	1059	1842	1904	1451	964
Zfp513	1243	1490	1683	1832	1241	1046	733	711	683	633	716	709
Zfp512b	1462	1796	1511	1480	529	594	988	895	1721	1344	1080	1034
Zfp512	255	277	203	193	110	93	408	379	370	320	449	475
Zfp511	328	291	267	250	142	202	368	306	293	260	284	315
Zfp51	307	281	155	124	85	91	72	58	83	72	55	55
Zfp507	663	678	197	160	242	303	431	437	355	243	329	355
Zfp503	578	574	309	317	144	193	1467	1147	1098	847	842	1248
Zfp493	14	17	5	4	7	4	6	5	10	2	8	7
Zfp488	3	3	1	2	3	2	2	0	0	2	8	10
Zfp474	0	0	0	0	0	0	0	0	0	0	0	0
Zfp473	30	30	37	17	59	45	131	98	78	72	129	126
Zfp472	120	124	73	61	24	36	56	34	24	22	11	13
Zfp467	181	254	208	196	217	260	94	78	115	111	210	270
Zfp462	1376	1029	384	570	53	71	1752	1283	1048	1451	1964	2166
Zfp46	1737	1845	1408	1233	434	352	1936	1802	2566	2456	4664	4261
Zfp459	70	59	44	35	26	29	60	58	32	15	45	20
Zfp458	79	102	34	21	25	25	52	43	18	28	43	45
Zfp457	3	10	8	8	9	7	3	5	3	5	12	10
Zfp456	109	117	38	24	24	22	10	23	23	12	24	33
Zfp455	30	47	9	5	9	12	14	12	15	8	14	12
Zfp454	22	9	2	7	12	3	28	21	16	8	15	31
Zfp451	492	567	350	295	134	168	543	489	618	548	396	460
Zfp449	15	23	6	4	3	16	61	33	61	51	95	97
Zfp446	133	135	122	106	66	82	196	122	122	113	98	122
Zfp445	1871	1983	1288	1259	968	1005	1591	1355	1324	1245	1534	1495
Zfp444	296	318	128	144	64	68	185	196	155	161	201	244
Zfp442	66	53	13	9	14	22	32	33	16	15	27	34
Zfp438	52	74	28	28	38	24	97	84	48	39	65	99
Zfp433	140	154	70	60	39	54	74	72	39	37	46	53
Zfp429	208	209	101	81	91	83	64	51	39	28	73	69
Zfp428	151	170	122	109	43	39	247	206	255	212	187	205
Zfp426	267	270	134	154	80	102	222	157	151	126	250	268
Zfp423	20	31	25	22	14	5	129	211	645	556	223	236
Zfp422	560	583	295	265	136	125	395	401	408	366	367	293
Zfp420	50	58	11	24	31	29	86	49	57	40	39	56
Zfp42	0	0	0	0	0	0	0	1	0	0	1	1
Zfp418	47	57	32	38	16	20	51	51	30	16	42	38
Zfp414	307	392	231	245	108	110	316	303	459	403	340	465
Zfp410	1019	1093	1068	813	697	686	785	799	650	540	427	470
